설치장소,설치목적,촬영범위,촬영시간,녹화물보관기간,관리책임자,카메라번호,검색용주소,latitude,longitude,좌표변환상태
경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구,35.2408175355204,128.655824314193,성공
경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구_3,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,3,경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구,35.2408175355204,128.655824314193,성공
경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구_4,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,4,경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구,35.2408175355204,128.655824314193,성공
경상남도 창원시 성산구 반송동 279-1(반송공원),방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 반송동 279-1,,,확인 필요
경상남도 창원시 성산구 반송로 61번길 16,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 반송로 61번길 16,35.2415495577574,128.664628527594,성공
"경상남도 창원시 성산구 삼동로128번길 49, (내동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 삼동로128번길 49,35.2230030029464,128.659928701442,성공
"경상남도 창원시 성산구 외동반림로134번길 16, 경상남도 창원시 진해구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 외동반림로134번길 16, 경상남도 창원시 진해구",,,확인 필요
"경상남도 창원시 성산구 원이대로552번길 21, 경상남도 창원시 진해구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 원이대로552번길 21, 경상남도 창원시 진해구",,,확인 필요
"경상남도 창원시 성산구 원이대로566번길 47, 경상남도 창원시 진해구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 원이대로566번길 47, 경상남도 창원시 진해구",35.2254284771741,128.674151292832,성공
"경상남도 창원시 성산구 외동반림로20번길 41, 경상남도 창원시 진해구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 외동반림로20번길 41, 경상남도 창원시 진해구",,,확인 필요
"경상남도 창원시 성산구 외동반림로38번길 11, 경상남도 창원시 진해구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 외동반림로38번길 11, 경상남도 창원시 진해구",35.2225496120446,128.673539288521,성공
경상남도 창원시 성산구 원이대로 566,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 원이대로 566,35.2288399221819,128.676887499344,성공
"경상남도 창원시 성산구 외동반림로142번길 6, 경상남도 창원시 진해구_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,"경상남도 창원시 성산구 외동반림로142번길 6, 경상남도 창원시 진해구",35.2309438460899,128.673141648603,성공
"경상남도 창원시 성산구 외동반림로142번길 6, 경상남도 창원시 진해구_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,"경상남도 창원시 성산구 외동반림로142번길 6, 경상남도 창원시 진해구",35.2309438460899,128.673141648603,성공
"경상남도 창원시 성산구 연덕로184번길 35, (내동)_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 연덕로184번길 35,35.2174302534882,128.669511008656,성공
"경상남도 창원시 성산구 연덕로184번길 35, (내동)_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 연덕로184번길 35,35.2174302534882,128.669511008656,성공
"경상남도 창원시 성산구 외동반림로6번길 23, 경상남도 창원시 진해구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 외동반림로6번길 23, 경상남도 창원시 진해구",35.2229458313553,128.675438192036,성공
경상남도 창원시 성산구 중앙동 156-2_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 중앙동 156-2,35.2198842819945,128.672546129386,성공
경상남도 창원시 성산구 중앙동 156-2_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 중앙동 156-2,35.2198842819945,128.672546129386,성공
