경로당명,도로명주소
 숲속마을주공3단지아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계본동1길 86,(숲속마을주공3단지 아파트)"
 숲속마을주공4단지아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 숲속로 6,(숲속마을주공4단지아파트)"
 숲속마을주공5단지아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 숲속로 30,(숲속마을주공5단지아파트)"
 숲속마을주공6단지아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 숲속로 27,(숲속마을주공6단지아파트)"
 신감경로당 ,경상남도 창원시  마산회원구 내서읍 신감길 25
 신목경로당 ,경상남도 창원시  마산회원구 내서읍 신목길 19-1
 신평경로당 ,경상남도 창원시  마산회원구 내서읍 신평로 35
 안계경로당 ,경상남도 창원시  마산회원구 내서읍 삼계로 194
 안곡경로당 ,경상남도 창원시  마산회원구 내서읍 송평로 411
 안성경로당 ,경상남도 창원시  마산회원구 내서읍 안성로 150
 옥정경로당 ,경상남도 창원시  마산회원구 내서읍 옥정1길 15
 용담경로당 ,경상남도 창원시  마산회원구 내서읍 용담로 177
 원계경로당 ,경상남도 창원시  마산회원구 내서읍 원계증산길 78
 원계대동다숲아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 광려천남로 267,(원계대동다숲아파트)"
 장미아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 중리상곡로 18,(장미아파트)"
 전안경로당 ,경상남도 창원시  마산회원구 내서읍 전안길 23
 죽암경로당 ,경상남도 창원시  마산회원구 내서읍 죽암로 19-1
 중리남성경로당 ,경상남도 창원시  마산회원구 내서읍 중리본동길 6
 중리여성경로당 ,경상남도 창원시  마산회원구 내서읍 중리상곡로 125
 중리현대아파트경로당 ,경상남도 창원시  마산회원구 내서읍 호원로 186 (중리현대아파트)
 코오롱1차아파트경로당 ,경상남도 창원시  마산회원구 내서읍 호원로 361-3(코오롱타운아파트)
 코오롱2차아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 호원로 359,(코오롱하늘채2차아파트)"
 평성남성경로당 ,경상남도 창원시  마산회원구 내서읍 송평로 361
 평성여성경로당 ,경상남도 창원시  마산회원구 내서읍 송평로 361
 한우리경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계1길 32,(한우리아파트1단지)"
 한우리2차아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계1길 18,(한우리아파트2단지)"
 한일유엔아이아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 광려천남로 245,(한일유앤아이오르젠아파트)"
 한주아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 함마대로 2805-70,(한주아파트)"
 현대성우아파트경로당 ,경상남도 창원시  마산회원구 내서읍 광려천북로 58(성우아파트)
 호계남성경로당 ,경상남도 창원시  마산회원구 내서읍 호계본동2길 15-4
 호계여성경로당 ,경상남도 창원시  마산회원구 내서읍 호계본동2길 15-4
 화인태양아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 광려천북로 208,(화인태양맨션)"
 회원1동남성경로당 ,"경상남도 창원시  마산회원구 회원동3길8(회원동), 2층"
 회원1동여성경로당 ,"경상남도 창원시  마산회원구 회원동3길8(회원동),  1층"
한효아파트경로당,"경상남도 창원시  마산회원구 회원동3길38(회원동,한효아파트)"
이산남성경로당,"경상남도 창원시  마산회원구 회원동32길8(회원동), 2층"
이산여성경로당,경상남도 창원시  마산회원구 회원동32길8(회원동) 1층
봉오남성경로당,"경상남도 창원시  마산회원구 회원동15길 83(회원동), 2층"
봉오여성경로당,"경상남도 창원시  마산회원구 회원동15길 83(회원동), 1층"
육호경로당,경상남도 창원시  마산회원구 회원동29길39(회원동)
화란여성경로당,경상남도 창원시  마산회원구 회원서4길 25(회원동)
화란남성경로당,경상남도 창원시  마산회원구 회원서4길 25(회원동)
연계마을여성경로당,경상남도 창원시  마산회원구 앵지밭골3길 9 (회원동)
연계마을남성경로당,경상남도 창원시  마산회원구 앵지밭골3길 9 (회원동)
봉화여성경로당,경상남도 창원시  마산회원구 회원북20길 14(회원동)
봉화남성경로당,경상남도 창원시  마산회원구 회원북20길 14(회원동)
회봉경로당,경상남도 창원시  마산회원구 회원북21길 54-1(회원동)
팔거리거점경로당,경상남도 창원시  마산회원구 회원북25길 19(회원동)
회원2동제1경로당,경상남도 창원시  마산회원구 회원남32길 35
무학경로당,경상남도 창원시  마산회원구 회원서12길 14(회원동)
e편한세상1단지경로당,경상남도 창원시  마산회원구 회원북13길 20(회원동)
e편한세상2단지경로당,경상남도 창원시  마산회원구 회원남로 65(회원동)
낙원경로당,경상남도 창원시  마산회원구 무학로667-1(회원동)
성황남성경로당,경상남도 창원시  마산회원구 석전서1길 13
성황여성경로당,경상남도 창원시  마산회원구 석전서1길 13
근주경로당,경상남도 창원시  마산회원구 석전북23길 9
봉화남성경로당,경상남도 창원시  마산회원구 석전서9길 140
봉화여성경로당,경상남도 창원시  마산회원구 석전서9길 140
장수남성경로당,경상남도 창원시  마산회원구 석전남9길 50-1
장수여성경로당,경상남도 창원시  마산회원구 석전남9길 50-1
일우경로당,경상남도 창원시  마산회원구 석전남23길 6
동산남성경로당 ,경상남도 창원시  마산회원구 석전북2길 2
동산여성경로당 ,경상남도 창원시  마산회원구 석전북2길 2
역전남성경로당,경상남도 창원시  마산회원구 석전동13길 15
역전여성경로당,경상남도 창원시  마산회원구 석전북13길 15
북성여성경로당,경상남도 창원시  마산회원구 석전북7길 8-21
중앙남성경로당,경상남도 창원시  마산회원구 석전동3길 50
중앙여성경로당,경상남도 창원시  마산회원구 석전동3길 50
대동피렌체아파트경로당,경상남도 창원시  마산회원구 양덕옛1길 37
메트로시티석전경로당,경상남도 창원시  마산회원구 석전남8길 40
광명촌경로당,경상남도 창원시  마산회원구 회성동9길 16(회성동)
두곡경로당,경상남도 창원시  마산회원구 두곡길 29-14(두척동)
두척경로당,경상남도 창원시  마산회원구 두척1길 33(두척동)
송정경로당,경상남도 창원시  마산회원구 송평로 155(두척동)
연동경로당,경상남도 창원시  마산회원구 회성북4길 13(회성동)
회성제1남성경로당,경상남도 창원시  마산회원구 회성시장1길 36(회성동)
회성제1여성경로당,경상남도 창원시  마산회원구 회성시장1길 36(회성동)
회성제2남성경로당,경상남도 창원시  마산회원구 회성남17길 22-10(회성동)
회성제2여성경로당,경상남도 창원시  마산회원구 회성남17길 22-10(회성동)
회성제3남성경로당,경상남도 창원시  마산회원구 회성동8길 22(회성동)
회성제3여성경로당,경상남도 창원시  마산회원구 회성동8길 22(회성동)
양덕1동남성경로당,"경상남도 창원시  마산회원구 양덕북2길 38, 2층(양덕동)"
양덕1동여성경로당,"경상남도 창원시  마산회원구 양덕북2길 38, 1층(양덕동)"
남성사랑방쉼터경로당,"경상남도 창원시  마산회원구 양덕동13길 20, 2층(양덕동)"
여성사랑방쉼터경로당,"경상남도 창원시  마산회원구 양덕동13길 20, 1층(양덕동)"
양덕1동행복경로당,경상남도 창원시  마산회원구 양덕북12길 25(양덕동)
양덕경남아파트경로당,"경상남도 창원시  마산회원구 양덕동17길 22(양덕동, 양덕경남아파트)"
서안양덕타운경로당,"경상남도 창원시  마산회원구 팔용로 60-3(양덕동, 서안양덕타운)"
신성미소지움아파트경로당,"경상남도 창원시  마산회원구 양덕북17길 73(양덕동, 신성미소지움아파트)"
양덕2동 제2남성경로당,경상남도 창원시  마산회원구 양덕남5길 13-1
양덕2동 제2여성경로당,경상남도 창원시  마산회원구 양덕남5길 13-1
구열경로당 남성분회,경상남도 창원시  마산회원구 산호천서길 159-3
구열경로당 여성분회,경상남도 창원시  마산회원구 산호천서길 159-3
양덕2동 삼각경로당,경상남도 창원시  마산회원구 양덕남8길 16
탑골경로당,경상남도 창원시  마산회원구 양덕동2길 86-1
한일타운1차 여성경로당,경상남도 창원시  마산회원구 양덕옛2길 58
한일타운1차 남성경로당,경상남도 창원시  마산회원구 양덕옛2길 58
한일타운2차 여성경로당,경상남도 창원시  마산회원구 양덕로151
한일타운2차 남성경로당,경상남도 창원시  마산회원구 양덕로151
한일타운3차 경로당,경상남도 창원시  마산회원구 삼호로 151
한일타운4차 경로당,경상남도 창원시  마산회원구 양덕서로45
우성아파트 경로당,경상남도 창원시  마산회원구 양덕옛2길 16
대림하이빌 아파트 경로당,"경상남도 창원시  마산회원구 양덕동2길 76, 108동 102호"
메트로시티 남성노인회,"경상남도 창원시  마산회원구 양덕서로 30, 103동 122호"
메트로시티 여성노인회,"경상남도 창원시  마산회원구 양덕서로 30, 119동 127호"
반월경로당,경상남도 창원시  마산회원구 양덕서9길 14
메트로시티2단지경로당,"경상남도 창원시  마산회원구 삼호로 80, 206동"
양덕코오롱하늘채아파트경로당,"경상남도 창원시  마산회원구 양덕서5길 15, 103동"
롯데캐슬센텀골드아파트경로당,"경상남도 창원시 양덕로 48, 107동 2102호"
롯데캐슬하버팰리스아파트경로당,"경상남도 창원시 양덕동2길 20, 101동"
합성1동남성경로당,경상남도 창원시 마산회원구합성북16길107
합성1동여성경로당,경상남도 창원시 마산회원구합성북16길95-6
신성남성경로당,"경상남도 창원시 마산회원구합성북8길20,2층"
신성여성경로당,"경상남도 창원시 마산회원구합성북8길20,1층"
합성가고파남성경로당,경상남도 창원시 마산회원구합성서11길26(2층)
합성가고파여성경로당,경상남도 창원시 마산회원구합성서11길26(1층)
무학경로당,"경상남도 창원시 마산회원구금강로35,무학아파트"
창원롯데캐슬더퍼스트경로당,경상남도 창원시 마산회원구합성북16길197
남성경로당,경상남도 창원시  마산회원구 합성동13길 2층
여성경로당,경상남도 창원시  마산회원구 합성동13길 1층
팔용경로당,경상남도 창원시  마산회원구 합성남2길 70-33
제2경로당,경상남도 창원시  마산회원구 합성남19길 4
제3경로당,경상남도 창원시  마산회원구 합성동3길 12
두산위브더센트럴1단지아파트경로당,경상남도 창원시  마산회원구 팔용로 89
구암본동남성경로당,경상남도 창원시  마산회원구 구암북7길 18
구암본동여성경로당,경상남도 창원시  마산회원구 구암북7길 18
구암샛터남성경로당,경상남도 창원시  마산회원구 구암북15길 64
구암샛터여성경로당,경상남도 창원시  마산회원구 구암북15길 64
대한여성경로당,경상남도 창원시  마산회원구 구암서9길 8
구암1동제1경로당,경상남도 창원시  마산회원구 구암서3길 47
구암1동제3경로당,경상남도 창원시  마산회원구 구암북18길 39
제1남성경로당,경상남도 창원시  마산회원구 구암남10길 15(구암동)
제1여성경로당,경상남도 창원시  마산회원구 구암남10길 15(구암동)
제2남성경로당,경상남도 창원시  마산회원구 구암남15길 27(구암동)
제2여성경로당,경상남도 창원시  마산회원구 구암남15길 27(구암동)
신산남성경로당,경상남도 창원시  마산회원구 구암동1길 103(구암동)
신산여성경로당,경상남도 창원시  마산회원구 구암동1길 103(구암동)
제4남성경로당,경상남도 창원시  마산회원구 구암남7길 14(구암동)
제4여성경로당,경상남도 창원시  마산회원구 구암남7길 14(구암동)
대동2차아파트경로당,"경상남도 창원시  마산회원구 구암남6길 50(구암동, 대동2차아파트)"
중앙하이츠아파트경로당,"경상남도 창원시  마산회원구 팔용로 215(구암동, 중앙하이츠)"
봉암동제1남성경로당,경상남도 창원시 마산회원구 봉암북7길 32
봉암동제1여성경로당,경상남도 창원시 마산회원구 봉암북7길 32
봉암동제2남성경로당,경상남도 창원시 마산회원구 봉암북2길 31
봉암동제2여성경로당,경상남도 창원시 마산회원구 봉암북2길 31
봉암서광아파트경로당,경상남도 창원시 마산회원구 봉양로 241 서광아파트
봉암본동경로당,경상남도 창원시 마산회원구 봉암북16길 14-1
봉암본동부녀경로당,경상남도 창원시 마산회원구 봉암북16길 14-1
 중앙동경로당 ,경상남도 창원시  진해구 충무로58번길 13-1(익선동)
 중앙동부녀경로당 ,경상남도 창원시  진해구 충무로58번길 13-1(익선동)
 데시앙아파트경로당 ,"경상남도 창원시  진해구 중원동로 38(부흥동, 태영데시앙)"
 태평동경로당 ,경상남도 창원시  진해구 중원로10번길 13(숭인동)
 태평동부녀경로당 ,경상남도 창원시  진해구 중원로10번길 13(숭인동)
 속천동경로당 ,경상남도 창원시  진해구 속천로52번길 3(속천동)
 속천동부녀경로당 ,경상남도 창원시  진해구 속천로52번길 3(속천동)
 제황경로당 ,경상남도 창원시  진해구 속천로 26(태평동)
 그린비치경로당 ,"경상남도 창원시  진해구 속천로23번길 9(제황산동, 대암그린비치맨션)"
 평화그린파크경로당 ,"경상남도 창원시  진해구 제황로 10(제황산동, 평화그린파크)"
 대죽동경로당 ,경상남도 창원시  진해구 태평로48번길 14-7(대죽동)
 대죽동부녀경로당 ,경상남도 창원시  진해구 태평로48번길 14-7(대죽동)
 충무로5가경로당 ,경상남도 창원시  진해구 중원로74번길 7(대흥동)
 송학동부녀경로당 ,경상남도 창원시  진해구 중원로74번길 7(대흥동)
 화천여자경로당 ,경상남도 창원시  진해구 중원로74번길 7(대흥동)
 충무동경로당 ,경상남도 창원시  진해구 인사로 10(인사동)
 충무동부녀경로당 ,경상남도 창원시  진해구 인사로 10(인사동)
 제황산경로당 ,경상남도 창원시  진해구 충장로130번길 22-1(대흥동)
 제황산부녀경로당 ,경상남도 창원시  진해구 충장로130번길 22-1(대흥동)
 제황로경로당 ,경상남도 창원시  진해구 제황로80번길 24-5(충무동)
 제황로부녀경로당 ,경상남도 창원시  진해구 제황로80번길 24-5(충무동)
 중원경로당 ,경상남도 창원시  진해구 중원로38번길 7(중평동)
 평지경로당 ,경상남도 창원시  진해구 여좌천로174번길 12-1(태백동)
 평지부녀경로당 ,경상남도 창원시  진해구 여좌천로174번길 12-1(태백동)
 여좌경로당 ,경상남도 창원시  진해구 여좌로123번길 2(여좌동)
 여좌부녀경로당 ,경상남도 창원시  진해구 여좌로123번길 2-1(여좌동)
 여좌2가부녀경로당 ,경상남도 창원시  진해구  여좌로118번가길 19(여좌동)
 여좌장복경로당 ,경상남도 창원시  진해구 여좌로58번길 17(여좌동)
 여좌장복부녀경로당 ,경상남도 창원시  진해구 여좌로58번길 17(여좌동)
 여좌1가경로당 ,경상남도 창원시  진해구 여좌남로41번길 21(여좌동) 
 여좌1가부녀경로당 ,경상남도 창원시  진해구 여좌남로41번길 21 (여좌동)
 여좌재건경로당 ,경상남도 창원시  진해구 여좌로15번길 26(여좌동)
 여좌재건부녀경로당 ,경상남도 창원시  진해구 여좌로15번길 26(여좌동)
 대광APT 경로당 ,"경상남도 창원시  진해구 여명남로16번길 22(여좌동, 대광아파트)"
 여명경로당 ,경상남도 창원시  진해구 여명로 56(여좌동)
 여명부녀경로당 ,경상남도 창원시  진해구 여명로 56(여좌동)
 육대경로당 ,경상남도 창원시  진해구 여좌로 34(여좌동)
 제광경로당 ,경상남도 창원시  진해구 충장로 249번길26(경화동)
 제광부녀경로당 ,경상남도 창원시  진해구 충장로 249번길26(경화동)
 태백동새동네경로당 ,경상남도 창원시  진해구 태백서로 62(태백동)
 태백동새동네부녀경로당 ,경상남도 창원시  진해구 태백서로 62(태백동)
 태백동경로당 ,경상남도 창원시  진해구 태백서로 12-5(태백동)
 태백동부녀경로당 ,경상남도 창원시  진해구 태백서로 12-5(태백동)
경화동경로당,경상남도 창원시  진해구 경화로29번길 10-1(경화동)
경화동부녀경로당,경상남도 창원시  진해구 경화로29번길 10-1(경화동)
경일경로당,경상남도 창원시  진해구 충장로285번길 10(경화동)
경일부녀경로당,경상남도 창원시  진해구 충장로285번길 10(경화동)
조천경로당,경상남도 창원시  진해구 조천로 5-7(경화동)
조천부녀경로당,경상남도 창원시  진해구 조천로 5-7(경화동)
경화포스코경로당,"경상남도 창원시  진해구 조천북로 65(경화동, 포스코더샵아파트)"
삼정그린코아경로당,"경상남도 창원시  진해구 조천북로 97, 104동(경화동, 삼정그린코아1단지)"
경화동새마을경로당,경상남도 창원시  진해구 조천북로85번길 21(경화동)
경화대동다숲경로당,"경상남도 창원시  진해구 조천북로 79, 1층(관리동)(경화동, 경화대동다숲아파트)"
 병암동경로당 ,"경상남도 창원시  진해구 경화로18번길 25(경화동), 2층"
 병암동부녀경로당 ,"경상남도 창원시  진해구 경화로18번길 25(경화동), 1층"
 상지아파트경로당 ,"경상남도 창원시  진해구 병암북로4번길 37(석동, 상지약수아파트)"
 경화아파트경로당 ,"경상남도 창원시  진해구 경화시장로 34-3(경화동, 경화아파트)"
 병암동사랑방경로당 ,경상남도 창원시  진해구 진해대로694번길 14(경화동)
 병암동행복경로당 ,경상남도 창원시  진해구 충장로364번나길 9-23(이동)
 경화주공아파트경로당 ,"경상남도 창원시  진해구 충장로345번길 50(경화동, 경화주공아파트)"
 석동경로당 ,경상남도 창원시  진해구 돌리로10번길 5-1(석동)
 석동부녀경로당 ,경상남도 창원시  진해구 돌리로10번길 5-1(석동)
 한솔솔파크경로당 ,"경상남도 창원시  진해구 돌리로16번길 18(석동, 진해석동한솔솔파크2단지)"
 석동그린빌2단지경로당 ,"경상남도 창원시  진해구 냉천로107번길 14, 210동(석동, 벚꽃그린빌주공2단지)"
벚꽃그린빌3단지경로당,"경상남도 창원시  진해구 석동로 60, 관리사무소동(석동, 벚꽃그린빌주공3단지) 관리사무소동"
석동그린빌4단지경로당,"경상남도 창원시  진해구 석동로 80, 409동(석동, 벚꽃그린빌주공4단지)"
석동공원경로당,경상남도 창원시  진해구 석동로34번길 14(석동)
석동공원부녀경로당,경상남도 창원시  진해구 석동로34번길 14(석동)
이동신성미소지움아파트경로당,"경상남도 창원시  진해구 동진로21번길 17(이동, 진해이동미소지움1단지)"
우림필유아파트경로당,"경상남도 창원시  진해구 해원로 45(석동, 진해석동우림필유)"
석동푸르지오경로당,"경상남도 창원시  진해구 진해대로 727(석동, 진해석동푸르지오)"
석동자이아파트경로당,"경상남도 창원시  진해구 동진로21번길 26(석동, 지에스진해자이아파트)"
창원석동LH아파트경로당,"경상남도 창원시  진해구 냉천로 125(석동, 창원석동LH아파트)"
 구이동경로당 ,경상남도 창원시  진해구 이동로59번길 6
 구이동부녀경로당 ,경상남도 창원시  진해구 이동로59번길 6
 신이동경로당 ,경상남도 창원시  진해구 충장로449번길 16
 신이동부녀경로당 ,경상남도 창원시  진해구 충장로449번길 16
 이동택지경로당 ,경상남도 창원시  진해구 충장로442번길 22-10
 이동택지부녀경로당 ,경상남도 창원시  진해구 충장로442번길 22-10
 남흥아파트경로당 ,경상남도 창원시  진해구 해원로 5
 석동주공아파트경로당 ,경상남도 창원시  진해구 냉천로 52
 관사경로당 ,경상남도 창원시  진해구 덕산로61번길19(자은동) 2층
 관사부녀경로당 ,경상남도 창원시  진해구 덕산로61번길19(자은동) 1층
 하구경로당 ,경상남도 창원시  진해구 자은로78번길4(자은동) 1층
 하구부녀경로당 ,경상남도 창원시  진해구 자은로78번길4(자은동) 1층
 냉천경로당 ,경상남도 창원시  진해구 냉천로129번길17(자은동) 1층
 냉천부녀경로당 ,경상남도 창원시  진해구 냉천로129번길17(자은동) 1층
 벚꽃마을아파트경로당 ,"경상남도 창원시  진해구 진해대로921번길10(자은동,벚꽃마을아파트)"
 벚꽃마을아파트부녀경로당 ,"경상남도 창원시  진해구 진해대로921번길10(자은동,벚꽃마을아파트)"
 성원아파트경로당 ,"경상남도 창원시  진해구 냉천로108번길6(자은동,성원아파트)"
 대동빌라트경로당 ,"경상남도 창원시  진해구 냉천로88(자은동,대동빌라트아파트)"
 삼성아파트경로당 ,"경상남도 창원시  진해구 자은로64번길40(자은동,삼성아파트)"
 월드메르디앙아파트경로당 ,"경상남도 창원시  진해구 자은로64번가길26(자은동,월드메르디앙아파트)"
 자은프라임아파트경로당 ,"경상남도 창원시  진해구 냉천로 257(자은동,엘에이치자은프라임)"
 자은프라임아파트부녀경로당 ,"경상남도 창원시  진해구 냉천로 257(자은동,엘에이치자은프라임)"
 천년나무아파트경로당 ,"경상남도 창원시  진해구 냉천로 192(자은동,천년나무아파트)"
 에일린의뜰아파트경로당 ,"경상남도 창원시  진해구 냉천로 235(자은동,창원자은에일린의뜰)"
 센트럴빌리지아파트경로당 ,"경상남도 창원시  진해구 냉천로 189(자은동,센트럴빌리지)"
 자은중흥S클래스경로당 ,"경상남도 창원시  진해구 냉천로 262(자은동,자은중흥S클래스)"
덕산동경로당,경상남도 창원시  진해구 덕산로36번길 19(풍호동)
자은동본동경로당,경상남도 창원시  진해구 진해대로979번길 6-1(자은동)
자은동본동부녀경로당,경상남도 창원시  진해구 진해대로979번길 6-1(자은동)
풍호주공아파트경로당,"경상남도 창원시  진해구 동진로 166(풍호동, 주공아파트)"
경동윈츠빌경로당,"경상남도 창원시  진해구 풍호로3번길 14(풍호동, 경동윈츠빌아파트)"
자은동포스코아파트경로당,"경상남도 창원시  진해구 진해대로 975번길 26(자은동, 더샵아파트)"
자은주공3단지아파트경로당,"경상남도 창원시  진해구 진해대로975번길 23(자은동, 자은3주공아파트)"
 협성DS아이존빌경로당 ,"경상남도 창원시  진해구 풍호로35번길 11, 105동"
풍호동경로당,경상남도 창원시  진해구 진해대로 1034번길 9(풍호동) 
풍호동부녀경로당,경상남도 창원시  진해구 진해대로 1034번길 9(풍호동) 
시영아파트경로당,"경상남도 창원시  진해구 진해대로 1041번길 35(풍호동,시영아파트)"
풍호우성아파트경로당,경상남도 창원시  진해구 충장로 575-1(풍호동)
풍호우성아파트부녀경로당,경상남도 창원시  진해구 충장로 575-1(풍호동)
장천동경로당,경상남도 창원시  진해구 충장로 671번길 9(장천동)
장천동부녀경로당,경상남도 창원시  진해구 충장로 671번길 9(장천동)
장천동서부경로당,경상남도 창원시  진해구 행암로 92번길 7(장천동)
장천서부부녀경로당,경상남도 창원시  진해구 행암로 92번길 7(장천동)
행암동경로당,경상남도 창원시  진해구 행암로 223(행암동)
행암동부녀경로당,경상남도 창원시  진해구 행암로 223(행암동)
아이존빌아파트경로당,"경상남도 창원시  진해구 풍호로 42번길 15(풍호동, DS아이존빌)"
상리마을경로당,경상남도 창원시  진해구 진해대로 1162번길 7(장천동)
평화마을아파트경로당,"경상남도 창원시  진해구 충장로 603번길 10(풍호동, 평화마을아파트)"
한림리츠빌아파트경로당,"경상남도 창원시  진해구 풍호로 68(풍호동, 한림리츠빌)"
장천대동다숲경로당,"경상남도 창원시  진해구 행암로 25(장천동, 대동다숲아파트) "
장천대동다숲부녀경로당,"경상남도 창원시  진해구 행암로 25(장천동, 대동다숲아파트) "
벽산e-솔렌스힐아파트경로당,경상남도 창원시  진해구 진해대로1099번길 10
창원마린푸르지오1단지경로당,"경상남도 창원시  진해구 천자로386(풍호동, 창원마린푸르지오1단지)"
한신휴플러스오션파크아파트경로당,"경상남도 창원시  진해구 행암로5(장천동, 한신휴플러스오션파트아파트경로당)"
관정경로당,경상남도 창원시  진해구 웅천북로39번길 12-14(북부동)
괴정경로당,경상남도 창원시  진해구 명제로472번길 30(제덕동)
괴정부녀경로당,경상남도 창원시  진해구 명제로472번길 30(제덕동)
남문경로당,경상남도 창원시  진해구 웅천중로40번길 3-2(남문동)
남문부녀경로당,경상남도 창원시  진해구 웅천중로40번길 3-2(남문동)
명동경로당,경상남도 창원시  진해구 명동로 29(명동) 
백일경로당,경상남도 창원시  진해구 웅천북로 190(북부동)
북부경로당,경상남도 창원시  진해구 웅천로159번길 10-17(북부동)
북부부녀경로당,경상남도 창원시  진해구 웅천로159번길 10-17(북부동)
삼포경로당,경상남도 창원시  진해구 명제로324번길 25-5(명동) 
서중동경로당,경상남도 창원시  진해구 웅천중로65번길 17-1(서중동)
서중동부녀경로당,경상남도 창원시  진해구 웅천중로65번길 17-1(서중동)
성내경로당,경상남도 창원시  진해구 웅천중로56번길 15(성내동)
성내부녀경로당,경상남도 창원시  진해구 웅천중로56번길 15(성내동)
수도경로당,경상남도 창원시  진해구 수도로 18(수도동)
시티프라디움1차 아파트경로당,"경상남도 창원시  진해구 웅천동로 16(남문동, 남문1차시티프라디움)"
시티프라디움2차 아파트경로당,"경상남도 창원시  진해구 웅천동로 100(남문동, 남문시티프라디움2차)"
신명경로당,경상남도 창원시  진해구 명동로83번길 8(명동)
어은경로당,경상남도 창원시  진해구 어은로35번길 7(죽곡동)
와성경로당,경상남도 창원시  진해구 웅천동로 49번길 98(남문동)
제덕경로당,경상남도 창원시  진해구 제덕로234번길 11-3(제덕동)
죽곡경로당,"경상남도 창원시  진해구 명제로 107번길 19, 102(죽곡동, 케이그린빌아파트)"
진해남문호반베르디움아파트경로당,"경상남도 창원시  진해구 웅천동로43번길 19(남문동, 남문호반베르디움)"
리젠시빌란트경로당,"경상남도 창원시  진해구 웅천동로1번길 18(남문동, 리젠시빌란트)"
마천경로당,경상남도 창원시  진해구 웅동로51번길 16(마천동)
마천부녀경로당,경상남도 창원시  진해구 웅동로51번길 16(마천동)
남명플럼빌리지경로당,"경상남도 창원시  진해구 웅동로 70(마천동, 남명플럼빌리지)"
소사경로당,경상남도 창원시  진해구 소사로43번길 6(소사동)
월남경로당,경상남도 창원시  진해구 월남로104번길 12(남양동)
영길경로당,경상남도 창원시  진해구 남영로 500(남양동)
영길부녀경로당,경상남도 창원시  진해구 남영로 500(남양동)
금곡경로당,경상남도 창원시  진해구 마천로 18번안길 15-1(마천동)
금곡부녀경로당,경상남도 창원시  진해구 마천로 18번안길 15-1(마천동)
청안해오름프리존빌경로당,"경상남도 창원시  진해구 웅동로 150(두동, 청안해오름아파트)"
의곡경로당,경상남도 창원시  진해구 웅동로 194(두동)
내곡경로당,경상남도 창원시  진해구 웅동로121번길 12(마천동)
대장동경로당,경상남도 창원시  진해구 대장로 192(대장동)
대장동부녀경로당,경상남도 창원시  진해구 대장로 192(대장동)
(사)대한노인회 진해지회 부암경로당,경상남도 창원시  진해구 마천로103번길 8(마천동)
경남아너스빌경로당,"경상남도 창원시  진해구 마천로 50(마천동, 경남아너스빌)"
우방아이유쉘경로당,경상남도 창원시  진해구 월남로144(남양동)
주포경로당,경상남도 창원시  진해구 가주로 162(가주동)
가동경로당,경상남도 창원시  진해구 가주로 71(가주동)
용원남자경로당,경상남도 창원시  진해구 용원남로17번길 17(용원동)
용원여자경로당,경상남도 창원시  진해구 용원남로17번길 17(용원동)
안골남자경로당,경상남도 창원시  진해구 안골로220번길 36(안골동)
안골여자경로당,경상남도 창원시  진해구 안골로220번길 36(안골동)
청천경로당,경상남도 창원시  진해구 청안로233번길 5(청안동)
안성경로당,경상남도 창원시  진해구 청안로170번길 40-6(청안동)
신안골경로당,경상남도 창원시  진해구 안청남로22번길 9-10 (안골동)
이지더원A경로당,"경상남도 창원시  진해구 신항동로 143(용원동, 이지더원아파트 1단지) "
신항부영13단지A경로당,"경상남도 창원시  진해구 신항4로 75(용원동, 신항부영13단지) "
용원현대A경로당,"경상남도 창원시  진해구 안청북로 42, (용원동, 녹산현대아파트)"
풍림A남자경로당,"경상남도 창원시  진해구 안청북로 39, (청안동, 풍림아파트)"
풍림A여자경로당,"경상남도 창원시  진해구 안청북로 39, (청안동, 풍림아파트)"
부영1차A남자경로당,"경상남도 창원시  진해구 안청남로 13, (청안동, 부영1차아파트)"
부영1차A여자경로당,"경상남도 창원시  진해구 안청남로 13, (청안동, 부영1차아파트)"
부영2차A남자경로당,"경상남도 창원시  진해구 안청북로 12,   (청안동, 부영2차아파트)"
부영2차A여자경로당,"경상남도 창원시  진해구 안청북로 12,  (청안동, 부영2차아파트)"
부영3차A남자경로당,"경상남도 창원시  진해구 안청북로 15,(청안동, 부영3차아파트)"
부영3차A여자경로당,"경상남도 창원시  진해구 안청북로 15, (청안동, 부영3차아파트)"
해인로즈빌A남자경로당,"경상남도 창원시  진해구 안청로 126, (청안동, 해인로즈빌아파트)"
해인로즈빌A여자경로당,"경상남도 창원시  진해구 안청로 126, (청안동, 해인로즈빌아파트)"
일신님A남자경로당,"경상남도 창원시  진해구 안골로 359,  (용원동, 일신님아파트)"
