경로당명,도로명주소
장등경로당,경상남도 창원시 의창구 대산면 주남로 503번길 43-50
신등경로당,경상남도 창원시 의창구 대산면 가술산남로 15
신동경로당,경상남도 창원시 의창구 대산면 가술산남로 37
백양경로당 ,경상남도 창원시 의창구 대산면 가술산남로 124-6
주남경로당,경상남도 창원시 의창구 대산면 주남로 327번길 53-40
대방경로당,경상남도 창원시 의창구 대산면 봉강가술로 394번길 33
대방여성경로당,경상남도 창원시 의창구 대산면 봉강가술로 358번길 24
제동경로당,경상남도 창원시 의창구 대산면 제동길 43
제동부인경로당,경상남도 창원시 의창구 대산면 제동길42번길 10-5
중앙경로당,경상남도 창원시 의창구 대산면 진산대로 394-25
삼봉경로당,경상남도 창원시 의창구 대산면 진산대로 355번길 16-10
대진경로당,경상남도 창원시 의창구 대산면 진남로 114번길 159
상포부녀경로당,경상남도 창원시 의창구 대산면 진남로 114번길 125-9
상등경로당,경상남도 창원시 의창구 대산면 주남로400번길 28
고등포경로당,경상남도 창원시 의창구 대산면 주남로394번길 51(제동리 464-8)
남포경로당,경상남도 창원시 의창구 대산면 진남로 72
우암마을경로당,경상남도 창원시 의창구 대산면 북부로 10번길 10
덕현경로당,경상남도 창원시 의창구 대산면 우암로 20
월림경로당,경상남도 창원시 의창구 대산면 우암로 79번길 3
신곡경로당,경상남도 창원시 의창구 대산면 우암로 128
신곡부인경로당,경상남도 창원시 의창구 대산면 우암로 128-1
용등경로당,경상남도 창원시 의창구 대산면 우암로 163
중포마을경로당,경상남도 창원시 의창구 대산면 진산대로 260번길 78-2
동부경로당,경상남도 창원시 의창구 대산면 대산북로 899번길 42
서부경로당,경상남도 창원시 의창구 대산면 대산북로 893번길 15(북부리 362-4)
유청경로당,경상남도 창원시 의창구 대산면 유등로 364
유등경로당,경상남도 창원시 의창구 대산면 유등로 377-11
유등부인경로당,경상남도 창원시 의창구 대산면 유등로 403
동곡경로당,경상남도 창원시 의창구 대산면 유등남길 40번길 16-2
대산NHF1단지경로당,경상남도 창원시 의창구 대산면 주남로 514
소답경로당,경상남도 창원시 의창구 의안로 32번길 34-1(소답동)
재건경로당,경상남도 창원시 의창구 읍성로 41번길 2-9(북동)
중동경로당,경상남도 창원시 의창구 의안로 31번길 14-1(중동)
북동경로당,경상남도 창원시 의창구 의안로 55번길 34-1(북동)
동정경로당,경상남도 창원시 의창구 동정길 31-6(동정동)
서상경로당,경상남도 창원시 의창구 천주로 12번길 12-6(서상동)
무학아파트경로당,"경상남도 창원시 의창구 의창대로 139번길 23(동정동, 무학아파트)"
소계경로당,경상남도 창원시 의창구 금강로 355번길 39(소계동)
의창경로당,경상남도 창원시 의창구 의안로 56번길 21(소답동)
동정오성아파트경로당,"경상남도 창원시 의창구 서상로 27(동정동, 동정오성아파트)"
흥한웰가아파트경로당,"경상남도 창원시 의창구 천주로 33(동정동, 흥한웰가아파트)"
대동다숲아파트경로당,"경상남도 창원시 의창구 팔용로 512(서상동, 중동대동다숲아파트)"
 강무경로당,경상남도 창원시 의창구 서상로 25번길 10-9(동정동)
 천주경로당,경상남도 창원시 의창구 소계로 128(소계동)
