경로당명,도로명주소,지오코딩용주소,위도,경도,검색결과주소,매칭점수
봉암동제1남성경로당,경상남도 창원시 마산회원구 봉암북7길 32,경상남도 창원시 마산회원구 봉암북7길 32,35.223206754412,128.598442128207,경상남도 창원시 마산회원구 봉암동 봉암북7길 32,100.0
봉암동제1여성경로당,경상남도 창원시 마산회원구 봉암북7길 32,경상남도 창원시 마산회원구 봉암북7길 32,35.223206754412,128.598442128207,경상남도 창원시 마산회원구 봉암동 봉암북7길 32,100.0
봉암동제2남성경로당,경상남도 창원시 마산회원구 봉암북2길 31,경상남도 창원시 마산회원구 봉암북2길 31,35.22128335909,128.597201187442,경상남도 창원시 마산회원구 봉암동 봉암북2길 31,100.0
봉암동제2여성경로당,경상남도 창원시 마산회원구 봉암북2길 31,경상남도 창원시 마산회원구 봉암북2길 31,35.22128335909,128.597201187442,경상남도 창원시 마산회원구 봉암동 봉암북2길 31,100.0
봉암서광아파트경로당,경상남도 창원시 마산회원구 봉양로 241 서광아파트,경상남도 창원시 마산회원구 봉양로 241,35.21651786995,128.612959919783,경상남도 창원시 마산회원구 봉암동 봉양로 241,100.0
봉암본동경로당,경상남도 창원시 마산회원구 봉암북16길 14-1,경상남도 창원시 마산회원구 봉암북16길 14-1,35.214109455801,128.615794847075,경상남도 창원시 마산회원구 봉암동 봉암북16길 14-1,100.0
봉암본동부녀경로당,경상남도 창원시 마산회원구 봉암북16길 14-1,경상남도 창원시 마산회원구 봉암북16길 14-1,35.214109455801,128.615794847075,경상남도 창원시 마산회원구 봉암동 봉암북16길 14-1,100.0
 중앙동경로당 ,경상남도 창원시  진해구 충무로58번길 13-1(익선동),경상남도 창원시 진해구 충무로58번길 13-1,35.150594285294,128.657564552807,경상남도 창원시 진해구 익선동 충무로58번길 13-1,100.0
 중앙동부녀경로당 ,경상남도 창원시  진해구 충무로58번길 13-1(익선동),경상남도 창원시 진해구 충무로58번길 13-1,35.150594285294,128.657564552807,경상남도 창원시 진해구 익선동 충무로58번길 13-1,100.0
 데시앙아파트경로당 ,"경상남도 창원시  진해구 중원동로 38(부흥동, 태영데시앙)",경상남도 창원시 진해구 중원동로 38,35.147453418536,128.661810573499,경상남도 창원시 진해구 부흥동 중원동로 38,100.0
 태평동경로당 ,경상남도 창원시  진해구 중원로10번길 13(숭인동),경상남도 창원시 진해구 중원로10번길 13,35.145052799557,128.660386236692,경상남도 창원시 진해구 숭인동 중원로10번길 13,100.0
 태평동부녀경로당 ,경상남도 창원시  진해구 중원로10번길 13(숭인동),경상남도 창원시 진해구 중원로10번길 13,35.145052799557,128.660386236692,경상남도 창원시 진해구 숭인동 중원로10번길 13,100.0
 속천동경로당 ,경상남도 창원시  진해구 속천로52번길 3(속천동),경상남도 창원시 진해구 속천로52번길 3,35.14219402575,128.669160664393,경상남도 창원시 진해구 속천동 속천로52번길 3,100.0
 속천동부녀경로당 ,경상남도 창원시  진해구 속천로52번길 3(속천동),경상남도 창원시 진해구 속천로52번길 3,35.14219402575,128.669160664393,경상남도 창원시 진해구 속천동 속천로52번길 3,100.0
 제황경로당 ,경상남도 창원시  진해구 속천로 26(태평동),경상남도 창원시 진해구 속천로 26,35.144584795993,128.670192141398,경상남도 창원시 진해구 태평동 속천로 26,100.0
 그린비치경로당 ,"경상남도 창원시  진해구 속천로23번길 9(제황산동, 대암그린비치맨션)",경상남도 창원시 진해구 속천로23번길 9,35.144260081064,128.67163592422,경상남도 창원시 진해구 제황산동 속천로23번길 9,100.0
 평화그린파크경로당 ,"경상남도 창원시  진해구 제황로 10(제황산동, 평화그린파크)",경상남도 창원시 진해구 제황로 10,35.146135280442,128.669487893893,경상남도 창원시 진해구 제황산동 제황로 10,100.0
 대죽동경로당 ,경상남도 창원시  진해구 태평로48번길 14-7(대죽동),경상남도 창원시 진해구 태평로48번길 14-7,35.144546029691,128.663898673218,경상남도 창원시 진해구 대죽동 태평로48번길 14-7,100.0
 대죽동부녀경로당 ,경상남도 창원시  진해구 태평로48번길 14-7(대죽동),경상남도 창원시 진해구 태평로48번길 14-7,35.144546029691,128.663898673218,경상남도 창원시 진해구 대죽동 태평로48번길 14-7,100.0
 충무로5가경로당 ,경상남도 창원시  진해구 중원로74번길 7(대흥동),경상남도 창원시 진해구 중원로74번길 7,35.15077030526,128.660576338256,경상남도 창원시 진해구 대흥동 중원로74번길 7,100.0
 송학동부녀경로당 ,경상남도 창원시  진해구 중원로74번길 7(대흥동),경상남도 창원시 진해구 중원로74번길 7,35.15077030526,128.660576338256,경상남도 창원시 진해구 대흥동 중원로74번길 7,100.0
 화천여자경로당 ,경상남도 창원시  진해구 중원로74번길 7(대흥동),경상남도 창원시 진해구 중원로74번길 7,35.15077030526,128.660576338256,경상남도 창원시 진해구 대흥동 중원로74번길 7,100.0
 충무동경로당 ,경상남도 창원시  진해구 인사로 10(인사동),경상남도 창원시 진해구 인사로 10,35.15046474298,128.667781506045,경상남도 창원시 진해구 인사동 인사로 10,100.0
 충무동부녀경로당 ,경상남도 창원시  진해구 인사로 10(인사동),경상남도 창원시 진해구 인사로 10,35.15046474298,128.667781506045,경상남도 창원시 진해구 인사동 인사로 10,100.0
 제황산경로당 ,경상남도 창원시  진해구 충장로130번길 22-1(대흥동),경상남도 창원시 진해구 충장로130번길 22-1,35.150127078011,128.665621573415,경상남도 창원시 진해구 대흥동 충장로130번길 22-1,100.0
 제황산부녀경로당 ,경상남도 창원시  진해구 충장로130번길 22-1(대흥동),경상남도 창원시 진해구 충장로130번길 22-1,35.150127078011,128.665621573415,경상남도 창원시 진해구 대흥동 충장로130번길 22-1,100.0
 제황로경로당 ,경상남도 창원시  진해구 제황로80번길 24-5(충무동),경상남도 창원시 진해구 제황로80번길 24-5,35.150976164802,128.669556960775,경상남도 창원시 진해구 충무동 제황로80번길 24-5,100.0
 제황로부녀경로당 ,경상남도 창원시  진해구 제황로80번길 24-5(충무동),경상남도 창원시 진해구 제황로80번길 24-5,35.150976164802,128.669556960775,경상남도 창원시 진해구 충무동 제황로80번길 24-5,100.0
 중원경로당 ,경상남도 창원시  진해구 중원로38번길 7(중평동),경상남도 창원시 진해구 중원로38번길 7,35.147478061331,128.660108041326,경상남도 창원시 진해구 중평동 중원로38번길 7,100.0
 평지경로당 ,경상남도 창원시  진해구 여좌천로174번길 12-1(태백동),경상남도 창원시 진해구 여좌천로174번길 12-1,35.167836949773,128.657898320192,경상남도 창원시 진해구 태백동 여좌천로174번길 12-1,100.0
 평지부녀경로당 ,경상남도 창원시  진해구 여좌천로174번길 12-1(태백동),경상남도 창원시 진해구 여좌천로174번길 12-1,35.167836949773,128.657898320192,경상남도 창원시 진해구 태백동 여좌천로174번길 12-1,100.0
