grid_id,latitude,longitude,cctv_exist,light_exist,wifi_exist,child_risk_pct,elderly_risk_pct
G030692,35.210889,128.580547,1,1,1,0.0,0.0
G030932,35.119822,128.58044,1,1,1,0.0,0.0
G031631,35.231595,128.584118,1,1,1,0.0,0.0
G031643,35.242414,128.584262,1,1,1,0.0,16.98
G031923,35.220767,128.585073,1,1,1,0.0,18.99
G031931,35.227979,128.585169,1,1,1,0.0,1.2
G031933,35.229782,128.585193,1,1,1,0.0,0.0
G032245,35.238788,128.586412,1,1,1,0.0,25.33
G032247,35.240591,128.586436,1,1,1,0.0,15.72
G033151,35.236054,128.589672,1,1,1,0.0,15.89
G033442,35.221619,128.590578,1,1,1,0.0,0.0
G033466,35.243256,128.590868,1,1,1,0.0,0.0
G033785,35.247754,128.592027,1,1,1,0.0,4.86
G034107,35.249547,128.59315,1,1,1,0.0,15.85
G034111,35.253153,128.593199,1,1,1,0.0,0.69
G036102,35.252192,128.599781,1,1,1,0.0,27.27
G036820,35.299953,128.602626,1,1,1,0.0,0.0
G038116,35.347694,128.607677,1,1,1,0.0,0.0
G039840,35.25748,128.613043,1,1,1,0.0,0.69
G040643,35.166394,128.615095,1,1,1,0.0,2.68
G041344,35.264642,128.618638,1,1,1,0.0,15.44
G041935,35.261016,128.620787,1,1,1,0.0,0.0
G042814,35.260985,128.624084,1,1,1,0.0,0.0
G043105,35.264581,128.625233,1,1,1,0.0,2.96
G043385,35.261866,128.626295,1,1,1,0.0,6.83
G043866,35.205049,128.627707,1,1,1,0.0,0.0
G044127,35.201433,128.628755,1,1,1,0.0,0.0
G045766,35.260872,128.636175,1,1,1,0.0,2.72
G046026,35.257256,128.637224,1,1,1,0.0,0.66
G047028,35.243691,128.641431,1,1,1,0.0,21.53
G047274,35.242779,128.642517,1,1,1,8.97,0.0
G047523,35.245474,128.643654,1,1,1,0.0,0.0
G048284,35.249049,128.647001,1,1,1,28.47,45.83
G048791,35.245422,128.649148,1,1,1,0.0,0.68
G049722,35.355375,128.654006,1,1,1,0.0,0.0
G049868,35.241774,128.653493,1,1,1,0.0,19.48
G050956,35.243535,128.657914,1,1,1,0.0,0.0
G051231,35.244426,128.659026,1,1,1,0.0,5.56
G051232,35.245327,128.659039,1,1,1,0.0,33.33
G051406,35.154262,128.658844,1,1,1,0.0,14.74
G051411,35.15877,128.658908,1,1,1,0.0,0.0
G051678,35.146138,128.659826,1,1,1,0.0,0.0
G051958,35.144324,128.660898,1,1,1,0.0,26.62
G052916,35.242559,128.665594,1,1,1,0.0,0.0
G053394,35.151484,128.666489,1,1,1,0.0,43.05
G053684,35.151473,128.667587,1,1,1,0.0,18.59
G054048,35.217274,128.669627,1,1,1,0.0,0.0
G054260,35.14424,128.669679,1,1,1,0.0,0.0
G054373,35.246112,128.67114,1,1,1,0.0,30.72
G054931,35.219947,128.672962,1,1,1,0.0,0.0
G055228,35.229853,128.674203,1,1,1,0.0,0.0
G056035,35.226215,128.677447,1,1,1,0.0,27.56
G056559,35.227095,128.679657,1,1,1,0.0,0.0
G057848,35.224337,128.685112,1,1,1,0.0,4.86
