grid_id,latitude,longitude,risk_pct,risk_score,need_cctv,need_light,need_wifi,infra_need_score,vulnerability_score
G033296,35.37038227912809,128.59147481932564,0.0,0.0,1,1,1,1.0,0.0
G033297,35.37128380388077,128.59148695818232,0.0,0.0,1,1,1,1.0,0.0
G033298,35.37218532849504,128.59149909757804,0.0,0.0,1,0,1,0.5072003997658586,0.0
G033299,35.37308685297092,128.5915112375128,0.0,0.0,1,0,1,0.5072003997658586,0.0
G033300,35.373988377308386,128.59152337798665,0.0,0.0,1,0,1,0.5072003997658586,0.0
G033301,35.37488990150745,128.59153551899962,0.0,0.0,1,1,1,1.0,0.0
G033302,35.37579142556811,128.5915476605517,0.0,0.0,1,0,1,0.5072003997658586,0.0
G033303,35.37669294949036,128.59155980264293,0.0,0.0,1,1,1,1.0,0.0
G033304,35.37759447327421,128.59157194527336,0.0,0.0,1,1,1,1.0,0.0
G033305,35.378495996919625,128.59158408844297,0.0,0.0,1,1,1,1.0,0.0
G033306,35.37939752042664,128.59159623215183,0.0,0.0,1,1,1,1.0,0.0
G033307,35.38029904379523,128.59160837639993,0.0,0.0,1,1,1,1.0,0.0
G033343,35.08187741677713,128.58871470496072,0.0,0.0,1,1,1,1.0,0.0
G033344,35.08277898540516,128.58872668460756,0.0,0.0,1,1,1,1.0,0.0
G033345,35.08368055389532,128.58873866478643,0.0,0.0,1,1,1,1.0,0.0
G033346,35.08458212224759,128.5887506454973,0.0,0.0,1,1,1,1.0,0.0
G033347,35.085483690462,128.58876262674025,0.0,0.0,1,1,1,1.0,0.0
G033357,35.09449936502247,128.58888246843745,0.0,0.0,1,1,1,1.0,0.0
G033358,35.09540093172013,128.58889445553444,0.0,0.0,1,1,1,1.0,0.0
G033433,35.21350497623172,128.59046937658167,0.0,0.0,1,1,1,1.0,0.0
G033434,35.21440652471253,128.59048143414964,0.0,0.0,1,1,1,1.0,0.0
G033435,35.2153080730552,128.59049349225305,0.0,0.0,1,1,1,1.0,0.0
G033436,35.21620962125976,128.59050555089195,0.0,0.0,1,1,1,1.0,0.0
G033437,35.217111169326195,128.5905176100663,0.0,0.0,1,1,1,1.0,0.0
G033438,35.2180127172545,128.5905296697762,0.0,0.0,1,1,1,1.0,0.0
G033439,35.218914265044695,128.59054173002164,0.0,0.0,1,1,1,1.0,0.0
G033440,35.219815812696744,128.5905537908026,0.0,0.0,1,1,1,1.0,0.0
G033441,35.22071736021068,128.59056585211917,0.0,0.0,1,1,1,1.0,0.0
G033442,35.22161890758648,128.59057791397132,0.0,0.0,0,0,0,0.0,0.0
G033443,35.222520454824156,128.59058997635913,0.69,0.0069,1,1,1,1.0,0.0069
G033444,35.22342200192369,128.59060203928254,0.0,0.0,1,1,1,1.0,0.0
G033445,35.22432354888509,128.59061410274165,0.0,0.0,0,0,1,0.1780370258594738,0.0
